2026-09-02 12:56:38 | INFO     | trainer | epoch=5/60 | time=30.6s | lr=9.89e-05 | train/kl=1.4559 | train/main=1.4559 | train/total=1.6143 | train/fgbf=1.0561 | train/fgbf_loss=1.0561 | train/weighted_fgbf=0.1584 | train/weighted_fgbf_loss=0.1584 | train/fgbf_grad_norm=0.1547 | train/backbone_grad_norm=0.9433 | train/accuracy=0.3906 | val/kl=1.4588 | val/main=1.4588 | val/total=1.5923 | val/fgbf=0.8899 | val/fgbf_loss=0.8899 | val/weighted_fgbf=0.1335 | val/weighted_fgbf_loss=0.1335 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:57:19 | INFO     | trainer | epoch=6/60 | time=30.7s | lr=9.83e-05 | train/kl=1.4489 | train/main=1.4489 | train/total=1.6068 | train/fgbf=1.0530 | train/fgbf_loss=1.0530 | train/weighted_fgbf=0.1579 | train/weighted_fgbf_loss=0.1579 | train/fgbf_grad_norm=0.1155 | train/backbone_grad_norm=0.5091 | train/accuracy=0.3956 | val/kl=1.4639 | val/main=1.4639 | val/total=1.5975 | val/fgbf=0.8906 | val/fgbf_loss=0.8906 | val/weighted_fgbf=0.1336 | val/weighted_fgbf_loss=0.1336 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:58:01 | INFO     | trainer | epoch=7/60 | time=30.6s | lr=9.76e-05 | train/kl=1.4472 | train/main=1.4472 | train/total=1.6050 | train/fgbf=1.0522 | train/fgbf_loss=1.0522 | train/weighted_fgbf=0.1578 | train/weighted_fgbf_loss=0.1578 | train/fgbf_grad_norm=0.1134 | train/backbone_grad_norm=0.4008 | train/accuracy=0.3958 | val/kl=1.4602 | val/main=1.4602 | val/total=1.5938 | val/fgbf=0.8907 | val/fgbf_loss=0.8907 | val/weighted_fgbf=0.1336 | val/weighted_fgbf_loss=0.1336 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:58:42 | INFO     | trainer | epoch=8/60 | time=30.6s | lr=9.67e-05 | train/kl=1.4466 | train/main=1.4466 | train/total=1.6042 | train/fgbf=1.0505 | train/fgbf_loss=1.0505 | train/weighted_fgbf=0.1576 | train/weighted_fgbf_loss=0.1576 | train/fgbf_grad_norm=0.1098 | train/backbone_grad_norm=0.3572 | train/accuracy=0.3958 | val/kl=1.4553 | val/main=1.4553 | val/total=1.5888 | val/fgbf=0.8897 | val/fgbf_loss=0.8897 | val/weighted_fgbf=0.1335 | val/weighted_fgbf_loss=0.1335 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:59:24 | INFO     | trainer | epoch=9/60 | time=30.7s | lr=9.57e-05 | train/kl=1.4467 | train/main=1.4467 | train/total=1.6045 | train/fgbf=1.0518 | train/fgbf_loss=1.0518 | train/weighted_fgbf=0.1578 | train/weighted_fgbf_loss=0.1578 | train/fgbf_grad_norm=0.1131 | train/backbone_grad_norm=0.3813 | train/accuracy=0.3951 | val/kl=1.4603 | val/main=1.4603 | val/total=1.5941 | val/fgbf=0.8920 | val/fgbf_loss=0.8920 | val/weighted_fgbf=0.1338 | val/weighted_fgbf_loss=0.1338 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 13:00:05 | INFO     | trainer | epoch=10/60 | time=30.5s | lr=9.46e-05 | train/kl=1.4456 | train/main=1.4456 | train/total=1.6031 | train/fgbf=1.0501 | train/fgbf_loss=1.0501 | train/weighted_fgbf=0.1575 | train/weighted_fgbf_loss=0.1575 | train/fgbf_grad_norm=0.1068 | train/backbone_grad_norm=0.4277 | train/accuracy=0.3968 | val/kl=1.4572 | val/main=1.4572 | val/total=1.5906 | val/fgbf=0.8897 | val/fgbf_loss=0.8897 | val/weighted_fgbf=0.1335 | val/weighted_fgbf_loss=0.1335 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 13:00:49 | INFO     | trainer | epoch=11/60 | time=31.8s | lr=9.33e-05 | train/kl=1.4428 | train/main=1.4428 | train/total=1.5999 | train/fgbf=1.0473 | train/fgbf_loss=1.0473 | train/weighted_fgbf=0.1571 | train/weighted_fgbf_loss=0.1571 | train/fgbf_grad_norm=0.1014 | train/backbone_grad_norm=0.3958 | train/accuracy=0.3972 | val/kl=1.4538 | val/main=1.4538 | val/total=1.5865 | val/fgbf=0.8852 | val/fgbf_loss=0.8852 | val/weighted_fgbf=0.1328 | val/weighted_fgbf_loss=0.1328 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 13:01:31 | INFO     | trainer | epoch=12/60 | time=31.3s | lr=9.19e-05 | train/kl=1.4012 | train/main=1.4012 | train/total=1.5546 | train/fgbf=1.0227 | train/fgbf_loss=1.0227 | train/weighted_fgbf=0.1534 | train/weighted_fgbf_loss=0.1534 | train/fgbf_grad_norm=0.1135 | train/backbone_grad_norm=0.5939 | train/accuracy=0.4236 | val/kl=1.3977 | val/main=1.3977 | val/total=1.5284 | val/fgbf=0.8712 | val/fgbf_loss=0.8712 | val/weighted_fgbf=0.1307 | val/weighted_fgbf_loss=0.1307 | val/accuracy=0.4092 | val/kappa=0.2968 | val/mae=1.0036 | val/macro_f1=0.1860 | val/fgbf_low_grade_accuracy=0.5036 | val/fgbf_kl0_precision=0.5009 | val/fgbf_kl0_recall=0.8598 | val/fgbf_kl0_f1=0.6330 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.5154 | val/fgbf_kl2_recall=0.3160 | val/fgbf_kl2_f1=0.3918 | val/fgbf_boundary_KL1_to_KL0=136.0000 | val/fgbf_boundary_KL1_to_KL2=17.0000
2026-09-02 13:01:31 | INFO     | trainer | Early stopping triggered at epoch 12 (no val QWK improvement for 10 epochs).
2026-09-02 13:01:31 | INFO     | trainer | Restoring best model checkpoint (val_qwk=0.6764) from checkpoints\e2_fgbf_sk_best.pt for evaluation...
