2026-09-02 12:46:38 | INFO     | trainer | epoch=5/60 | time=29.4s | lr=9.89e-05 | train/kl=1.4475 | train/main=1.4475 | train/total=1.6051 | train/fgbf=1.0506 | train/fgbf_loss=1.0506 | train/weighted_fgbf=0.1576 | train/weighted_fgbf_loss=0.1576 | train/fgbf_grad_norm=0.1014 | train/backbone_grad_norm=0.4311 | train/accuracy=0.3956 | val/kl=1.4590 | val/main=1.4590 | val/total=1.5926 | val/fgbf=0.8905 | val/fgbf_loss=0.8905 | val/weighted_fgbf=0.1336 | val/weighted_fgbf_loss=0.1336 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:47:19 | INFO     | trainer | epoch=6/60 | time=29.4s | lr=9.83e-05 | train/kl=1.4472 | train/main=1.4472 | train/total=1.6048 | train/fgbf=1.0504 | train/fgbf_loss=1.0504 | train/weighted_fgbf=0.1576 | train/weighted_fgbf_loss=0.1576 | train/fgbf_grad_norm=0.1004 | train/backbone_grad_norm=0.4183 | train/accuracy=0.3956 | val/kl=1.4600 | val/main=1.4600 | val/total=1.5935 | val/fgbf=0.8903 | val/fgbf_loss=0.8903 | val/weighted_fgbf=0.1335 | val/weighted_fgbf_loss=0.1335 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:47:59 | INFO     | trainer | epoch=7/60 | time=29.5s | lr=9.76e-05 | train/kl=1.4464 | train/main=1.4464 | train/total=1.6038 | train/fgbf=1.0491 | train/fgbf_loss=1.0491 | train/weighted_fgbf=0.1574 | train/weighted_fgbf_loss=0.1574 | train/fgbf_grad_norm=0.0934 | train/backbone_grad_norm=0.3891 | train/accuracy=0.3958 | val/kl=1.4581 | val/main=1.4581 | val/total=1.5917 | val/fgbf=0.8902 | val/fgbf_loss=0.8902 | val/weighted_fgbf=0.1335 | val/weighted_fgbf_loss=0.1335 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:48:39 | INFO     | trainer | epoch=8/60 | time=29.5s | lr=9.67e-05 | train/kl=1.4470 | train/main=1.4470 | train/total=1.6047 | train/fgbf=1.0513 | train/fgbf_loss=1.0513 | train/weighted_fgbf=0.1577 | train/weighted_fgbf_loss=0.1577 | train/fgbf_grad_norm=0.0916 | train/backbone_grad_norm=0.3739 | train/accuracy=0.3956 | val/kl=1.4599 | val/main=1.4599 | val/total=1.5934 | val/fgbf=0.8900 | val/fgbf_loss=0.8900 | val/weighted_fgbf=0.1335 | val/weighted_fgbf_loss=0.1335 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:49:20 | INFO     | trainer | epoch=9/60 | time=29.6s | lr=9.57e-05 | train/kl=1.4469 | train/main=1.4469 | train/total=1.6045 | train/fgbf=1.0503 | train/fgbf_loss=1.0503 | train/weighted_fgbf=0.1575 | train/weighted_fgbf_loss=0.1575 | train/fgbf_grad_norm=0.0888 | train/backbone_grad_norm=0.3472 | train/accuracy=0.3956 | val/kl=1.4598 | val/main=1.4598 | val/total=1.5933 | val/fgbf=0.8903 | val/fgbf_loss=0.8903 | val/weighted_fgbf=0.1335 | val/weighted_fgbf_loss=0.1335 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:50:00 | INFO     | trainer | epoch=10/60 | time=29.6s | lr=9.46e-05 | train/kl=1.4461 | train/main=1.4461 | train/total=1.6035 | train/fgbf=1.0491 | train/fgbf_loss=1.0491 | train/weighted_fgbf=0.1574 | train/weighted_fgbf_loss=0.1574 | train/fgbf_grad_norm=0.0798 | train/backbone_grad_norm=0.3212 | train/accuracy=0.3956 | val/kl=1.4587 | val/main=1.4587 | val/total=1.5922 | val/fgbf=0.8903 | val/fgbf_loss=0.8903 | val/weighted_fgbf=0.1335 | val/weighted_fgbf_loss=0.1335 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:50:41 | INFO     | trainer | epoch=11/60 | time=29.6s | lr=9.33e-05 | train/kl=1.4455 | train/main=1.4455 | train/total=1.6031 | train/fgbf=1.0507 | train/fgbf_loss=1.0507 | train/weighted_fgbf=0.1576 | train/weighted_fgbf_loss=0.1576 | train/fgbf_grad_norm=0.0815 | train/backbone_grad_norm=0.3256 | train/accuracy=0.3958 | val/kl=1.4593 | val/main=1.4593 | val/total=1.5929 | val/fgbf=0.8909 | val/fgbf_loss=0.8909 | val/weighted_fgbf=0.1336 | val/weighted_fgbf_loss=0.1336 | val/accuracy=0.3971 | val/kappa=0.0000 | val/mae=1.2143 | val/macro_f1=0.1137 | val/fgbf_low_grade_accuracy=0.4733 | val/fgbf_kl0_precision=0.4733 | val/fgbf_kl0_recall=1.0000 | val/fgbf_kl0_f1=0.6425 | val/fgbf_kl1_precision=0.0000 | val/fgbf_kl1_recall=0.0000 | val/fgbf_kl1_f1=0.0000 | val/fgbf_kl2_precision=0.0000 | val/fgbf_kl2_recall=0.0000 | val/fgbf_kl2_f1=0.0000 | val/fgbf_boundary_KL1_to_KL0=153.0000 | val/fgbf_boundary_KL1_to_KL2=0.0000
2026-09-02 12:50:41 | INFO     | trainer | Early stopping triggered at epoch 11 (no val QWK improvement for 10 epochs).
2026-09-02 12:50:41 | INFO     | trainer | Restoring best model checkpoint (val_qwk=0.6899) from checkpoints\e2_fgbf_best.pt for evaluation...
2026-09-02 12:50:42 | INFO     | trainer | Training complete. Generating reports …
