split,metric,value
val,accuracy,0.651332
val,macro_precision,0.708373
val,macro_recall,0.658385
val,macro_f1,0.677847
val,weighted_precision,0.656310
val,weighted_recall,0.651332
val,weighted_f1,0.649920
val,mae,0.445521
val,qwk,0.763773
val,kl0_recall,0.780488
val,kl0_f1,0.752941
val,kl1_recall,0.372549
val,kl1_f1,0.387755
val,kl2_recall,0.646226
val,kl2_f1,0.614350
val,boundary_KL1_to_KL0,61.000000
val,boundary_KL1_to_KL2,33.000000
val,boundary_KL0_to_KL1,40.000000
val,boundary_KL2_to_KL1,38.000000
val,low_grade_min_recall,0.372549
val,low_grade_min_f1,0.387755
val,low_grade_worst_class,1.000000
test,accuracy,0.650966
test,macro_precision,0.669262
test,macro_recall,0.635731
test,macro_f1,0.648388
test,weighted_precision,0.651711
test,weighted_recall,0.650966
test,weighted_f1,0.648098
test,mae,0.429952
test,qwk,0.783248
test,kl0_recall,0.791862
test,kl0_f1,0.762622
test,kl1_recall,0.307432
test,kl1_f1,0.325000
test,kl2_recall,0.664430
test,kl2_f1,0.634615
test,boundary_KL1_to_KL0,121.000000
test,boundary_KL1_to_KL2,83.000000
test,boundary_KL0_to_KL1,81.000000
test,boundary_KL2_to_KL1,83.000000
test,low_grade_min_recall,0.307432
test,low_grade_min_f1,0.325000
test,low_grade_worst_class,1.000000
