split,metric,value
train,accuracy,0.760561
train,macro_precision,0.777184
train,macro_recall,0.797286
train,macro_f1,0.783364
train,weighted_precision,0.768297
train,weighted_recall,0.760561
train,weighted_f1,0.760649
train,mae,0.265409
train,qwk,0.889381
val,accuracy,0.636804
val,macro_precision,0.677067
val,macro_recall,0.670328
val,macro_f1,0.670240
val,weighted_precision,0.660400
val,weighted_recall,0.636804
val,weighted_f1,0.644723
val,mae,0.427361
val,qwk,0.798247
test,accuracy,0.665459
test,macro_precision,0.682416
test,macro_recall,0.684413
test,macro_f1,0.678869
test,weighted_precision,0.677007
test,weighted_recall,0.665459
test,weighted_f1,0.666268
test,mae,0.380435
test,qwk,0.835905
