split,metric,value
train,accuracy,0.656683
train,macro_precision,0.652641
train,macro_recall,0.658786
train,macro_f1,0.652445
train,weighted_precision,0.650990
train,weighted_recall,0.656683
train,weighted_f1,0.650557
train,mae,0.419841
train,qwk,0.861935
train,kl0_recall,0.658558
train,kl0_f1,0.578847
train,kl1_recall,0.363790
train,kl1_f1,0.397045
train,kl2_recall,0.477547
train,kl2_f1,0.517064
train,boundary_KL1_to_KL0,498.000000
train,boundary_KL1_to_KL2,214.000000
train,boundary_KL0_to_KL1,264.000000
train,boundary_KL2_to_KL1,258.000000
train,low_grade_min_recall,0.363790
train,low_grade_min_f1,0.397045
train,low_grade_worst_class,1.000000
train,fgbf_low_grade_accuracy,0.535663
train,fgbf_kl0_precision,0.520878
train,fgbf_kl0_recall,0.639444
train,fgbf_kl0_f1,0.574103
train,fgbf_kl1_precision,0.447745
train,fgbf_kl1_recall,0.344332
train,fgbf_kl1_f1,0.389287
train,fgbf_kl2_precision,0.621899
train,fgbf_kl2_recall,0.627807
train,fgbf_kl2_f1,0.624839
train,fgbf_boundary_KL1_to_KL0,483.000000
train,fgbf_boundary_KL1_to_KL2,292.000000
val,accuracy,0.573850
val,macro_precision,0.585813
val,macro_recall,0.626625
val,macro_f1,0.597084
val,weighted_precision,0.590803
val,weighted_recall,0.573850
val,weighted_f1,0.577215
val,mae,0.523002
val,qwk,0.746861
val,kl0_recall,0.682927
val,kl0_f1,0.685015
val,kl1_recall,0.411765
val,kl1_f1,0.353933
val,kl2_recall,0.443396
val,kl2_f1,0.508108
val,boundary_KL1_to_KL0,66.000000
val,boundary_KL1_to_KL2,17.000000
val,boundary_KL0_to_KL1,75.000000
val,boundary_KL2_to_KL1,62.000000
val,low_grade_min_recall,0.411765
val,low_grade_min_f1,0.353933
val,low_grade_worst_class,1.000000
val,fgbf_low_grade_accuracy,0.556999
val,fgbf_kl0_precision,0.685430
val,fgbf_kl0_recall,0.631098
val,fgbf_kl0_f1,0.657143
val,fgbf_kl1_precision,0.272727
val,fgbf_kl1_recall,0.352941
val,fgbf_kl1_f1,0.307692
val,fgbf_kl2_precision,0.647668
val,fgbf_kl2_recall,0.589623
val,fgbf_kl2_f1,0.617284
val,fgbf_boundary_KL1_to_KL0,66.000000
val,fgbf_boundary_KL1_to_KL2,33.000000
test,accuracy,0.568841
test,macro_precision,0.568472
test,macro_recall,0.612639
test,macro_f1,0.581128
test,weighted_precision,0.577766
test,weighted_recall,0.568841
test,weighted_f1,0.565172
test,mae,0.542271
test,qwk,0.735797
test,kl0_recall,0.708920
test,kl0_f1,0.686364
test,kl1_recall,0.310811
test,kl1_f1,0.285271
test,kl2_recall,0.400447
test,kl2_f1,0.485753
test,boundary_KL1_to_KL0,134.000000
test,boundary_KL1_to_KL2,58.000000
test,boundary_KL0_to_KL1,133.000000
test,boundary_KL2_to_KL1,116.000000
test,low_grade_min_recall,0.310811
test,low_grade_min_f1,0.285271
test,low_grade_worst_class,1.000000
test,fgbf_low_grade_accuracy,0.567294
test,fgbf_kl0_precision,0.676783
test,fgbf_kl0_recall,0.697966
test,fgbf_kl0_f1,0.687211
test,fgbf_kl1_precision,0.262997
test,fgbf_kl1_recall,0.290541
test,fgbf_kl1_f1,0.276083
test,fgbf_kl2_precision,0.636364
test,fgbf_kl2_recall,0.563758
test,fgbf_kl2_f1,0.597865
test,fgbf_boundary_KL1_to_KL0,129.000000
test,fgbf_boundary_KL1_to_KL2,81.000000
