experiment,parameters,checkpoint_monitor,sampler_power,learning_rate,warmup_epochs,train_accuracy,val_accuracy,val_macro_f1,val_qwk,val_mae,val_kl1_f1,val_kl2_f1,test_accuracy,test_macro_f1,test_qwk,test_mae,test_kl1_f1,test_kl2_f1
e1,28214885,,nan,nan,-1,nan,0.6840193704600485,0.7062684950200603,0.831197230152463,0.3692493946731235,0.4110429447852761,0.6594594594594595,0.6805555555555556,0.6944422159457406,0.839345634392239,0.3665458937198068,0.390625,0.6005361930294906
e2,30738475,,nan,nan,-1,nan,0.6513317191283293,0.6778468176968385,0.7637725870427501,0.44552058111380144,0.3877551020408163,0.6143497757847534,0.6509661835748792,0.6483875498839413,0.7832475003983297,0.42995169082125606,0.325,0.6346153846153846
e3,30939997,,,,,0.7569252077562327,0.6719128329297821,0.6855771652970221,0.8143571816044843,0.3946731234866828,,,0.6956521739130435,0.6958073347328539,0.8375167881465506,0.358695652173913,,
e4,33281527,,nan,nan,-1,nan,0.6295399515738499,0.664586664801991,0.7701755437061889,0.46246973365617433,0.3333333333333333,0.5786802030456852,0.660024154589372,0.6780262129896528,0.819042013946572,0.4003623188405797,0.3443708609271523,0.6182728410513142
e3_fgbf_sampler02,31687924,,nan,nan,-1,nan,0.6464891041162227,0.6758406968345443,0.8004993605748737,0.423728813559322,0.382089552238806,0.6030927835051546,0.6630434782608695,0.6726376986323646,0.8277685639760954,0.3894927536231884,0.36454849498327757,0.6059880239520958
e5,33758009,,nan,nan,-1,nan,0.6464891041162227,0.6641037836097324,0.7825411618515067,0.43341404358353514,0.4036697247706422,0.6466512702078522,0.6745169082125604,0.6875110818459664,0.8311411987699896,0.37318840579710144,0.38791732909379967,0.6509009009009009
