split,metric,value
train,accuracy,0.685769
train,macro_precision,0.714301
train,macro_recall,0.683070
train,macro_f1,0.689074
train,weighted_precision,0.668562
train,weighted_recall,0.685769
train,weighted_f1,0.666010
train,mae,0.414301
train,qwk,0.786583
val,accuracy,0.647700
val,macro_precision,0.653088
val,macro_recall,0.655823
val,macro_f1,0.647794
val,weighted_precision,0.630352
val,weighted_recall,0.647700
val,weighted_f1,0.632436
val,mae,0.453995
val,qwk,0.772012
test,accuracy,0.626208
test,macro_precision,0.616169
test,macro_recall,0.616975
test,macro_f1,0.611079
test,weighted_precision,0.601135
test,weighted_recall,0.626208
test,weighted_f1,0.607061
test,mae,0.474034
test,qwk,0.768418
