split,metric,value
val,accuracy,0.646489
val,macro_precision,0.663478
val,macro_recall,0.670886
val,macro_f1,0.664104
val,weighted_precision,0.658439
val,weighted_recall,0.646489
val,weighted_f1,0.650798
val,mae,0.433414
val,qwk,0.782541
val,kl0_recall,0.713415
val,kl0_f1,0.731250
val,kl1_recall,0.431373
val,kl1_f1,0.403670
val,kl2_recall,0.660377
val,kl2_f1,0.646651
val,boundary_KL1_to_KL0,54.000000
val,boundary_KL1_to_KL2,30.000000
val,boundary_KL0_to_KL1,63.000000
val,boundary_KL2_to_KL1,42.000000
val,low_grade_min_recall,0.431373
val,low_grade_min_f1,0.403670
val,low_grade_worst_class,1.000000
val,fgbf_low_grade_accuracy,0.614719
val,fgbf_kl0_precision,0.750000
val,fgbf_kl0_recall,0.667683
val,fgbf_kl0_f1,0.706452
val,fgbf_kl1_precision,0.318519
val,fgbf_kl1_recall,0.281046
val,fgbf_kl1_f1,0.298611
val,fgbf_kl2_precision,0.616541
val,fgbf_kl2_recall,0.773585
val,fgbf_kl2_f1,0.686192
val,fgbf_boundary_KL1_to_KL0,55.000000
val,fgbf_boundary_KL1_to_KL2,55.000000
test,accuracy,0.674517
test,macro_precision,0.690025
test,macro_recall,0.689788
test,macro_f1,0.687511
test,weighted_precision,0.684844
test,weighted_recall,0.674517
test,weighted_f1,0.678367
test,mae,0.373188
test,qwk,0.831141
test,kl0_recall,0.788732
test,kl0_f1,0.788116
test,kl1_recall,0.412162
test,kl1_f1,0.387917
test,kl2_recall,0.646532
test,kl2_f1,0.650901
test,boundary_KL1_to_KL0,101.000000
test,boundary_KL1_to_KL2,68.000000
test,boundary_KL0_to_KL1,102.000000
test,boundary_KL2_to_KL1,105.000000
test,low_grade_min_recall,0.412162
test,low_grade_min_f1,0.387917
test,low_grade_worst_class,1.000000
test,fgbf_low_grade_accuracy,0.651230
test,fgbf_kl0_precision,0.778862
test,fgbf_kl0_recall,0.749609
test,fgbf_kl0_f1,0.763955
test,fgbf_kl1_precision,0.312253
test,fgbf_kl1_recall,0.266892
test,fgbf_kl1_f1,0.287796
test,fgbf_kl2_precision,0.665370
test,fgbf_kl2_recall,0.765101
test,fgbf_kl2_f1,0.711759
test,fgbf_boundary_KL1_to_KL0,101.000000
test,fgbf_boundary_KL1_to_KL2,116.000000
