split,metric,value
train,accuracy,0.692694
train,macro_precision,0.702883
train,macro_recall,0.692197
train,macro_f1,0.690127
train,weighted_precision,0.701916
train,weighted_recall,0.692694
train,weighted_f1,0.689906
train,mae,0.331717
train,qwk,0.904881
train,kl0_recall,0.534884
train,kl0_f1,0.580103
train,kl1_recall,0.614020
train,kl1_f1,0.517070
train,kl2_recall,0.420354
train,kl2_f1,0.500263
train,boundary_KL1_to_KL0,295.000000
train,boundary_KL1_to_KL2,151.000000
train,boundary_KL0_to_KL1,487.000000
train,boundary_KL2_to_KL1,407.000000
train,low_grade_min_recall,0.420354
train,low_grade_min_f1,0.500263
train,low_grade_worst_class,2.000000
train,fgbf_low_grade_accuracy,0.577554
train,fgbf_kl0_precision,0.632056
train,fgbf_kl0_recall,0.540052
train,fgbf_kl0_f1,0.582443
train,fgbf_kl1_precision,0.448575
train,fgbf_kl1_recall,0.611486
train,fgbf_kl1_f1,0.517513
train,fgbf_kl2_precision,0.754891
train,fgbf_kl2_recall,0.580531
train,fgbf_kl2_f1,0.656328
train,fgbf_boundary_KL1_to_KL0,302.000000
train,fgbf_boundary_KL1_to_KL2,158.000000
val,accuracy,0.516949
val,macro_precision,0.584263
val,macro_recall,0.604940
val,macro_f1,0.573062
val,weighted_precision,0.589434
val,weighted_recall,0.516949
val,weighted_f1,0.529407
val,mae,0.552058
val,qwk,0.742201
val,kl0_recall,0.524390
val,kl0_f1,0.606702
val,kl1_recall,0.535948
val,kl1_f1,0.353448
val,kl2_recall,0.330189
val,kl2_f1,0.419162
val,boundary_KL1_to_KL0,46.000000
val,boundary_KL1_to_KL2,21.000000
val,boundary_KL0_to_KL1,137.000000
val,boundary_KL2_to_KL1,87.000000
val,low_grade_min_recall,0.330189
val,low_grade_min_f1,0.353448
val,low_grade_worst_class,2.000000
val,fgbf_low_grade_accuracy,0.532468
val,fgbf_kl0_precision,0.720930
val,fgbf_kl0_recall,0.567073
val,fgbf_kl0_f1,0.634812
val,fgbf_kl1_precision,0.269504
val,fgbf_kl1_recall,0.496732
val,fgbf_kl1_f1,0.349425
val,fgbf_kl2_precision,0.699346
val,fgbf_kl2_recall,0.504717
val,fgbf_kl2_f1,0.586301
val,fgbf_boundary_KL1_to_KL0,50.000000
val,fgbf_boundary_KL1_to_KL2,27.000000
test,accuracy,0.542271
test,macro_precision,0.598571
test,macro_recall,0.620751
test,macro_f1,0.586692
test,weighted_precision,0.613869
test,weighted_recall,0.542271
test,weighted_f1,0.552864
test,mae,0.503623
test,qwk,0.781143
test,kl0_recall,0.579030
test,kl0_f1,0.651408
test,kl1_recall,0.537162
test,kl1_f1,0.359322
test,kl2_recall,0.331096
test,kl2_f1,0.432749
test,boundary_KL1_to_KL0,88.000000
test,boundary_KL1_to_KL2,46.000000
test,boundary_KL0_to_KL1,248.000000
test,boundary_KL2_to_KL1,178.000000
test,low_grade_min_recall,0.331096
test,low_grade_min_f1,0.359322
test,low_grade_worst_class,2.000000
test,fgbf_low_grade_accuracy,0.563676
test,fgbf_kl0_precision,0.750980
test,fgbf_kl0_recall,0.599374
test,fgbf_kl0_f1,0.666667
test,fgbf_kl1_precision,0.286713
test,fgbf_kl1_recall,0.554054
test,fgbf_kl1_f1,0.377880
test,fgbf_kl2_precision,0.773333
test,fgbf_kl2_recall,0.519016
test,fgbf_kl2_f1,0.621151
test,fgbf_boundary_KL1_to_KL0,86.000000
test,fgbf_boundary_KL1_to_KL2,46.000000
