split,metric,value
train,accuracy,0.773373
train,macro_precision,0.799176
train,macro_recall,0.804203
train,macro_f1,0.801369
train,weighted_precision,0.772383
train,weighted_recall,0.773373
train,weighted_f1,0.772510
train,mae,0.264370
train,qwk,0.879303
train,kl0_recall,0.835958
train,kl0_f1,0.823529
train,kl1_recall,0.533971
train,kl1_f1,0.536023
train,kl2_recall,0.749835
train,kl2_f1,0.775162
train,boundary_KL1_to_KL0,331.000000
train,boundary_KL1_to_KL2,151.000000
train,boundary_KL0_to_KL1,291.000000
train,boundary_KL2_to_KL1,180.000000
train,low_grade_min_recall,0.533971
train,low_grade_min_f1,0.536023
train,low_grade_worst_class,1.000000
val,accuracy,0.667070
val,macro_precision,0.700140
val,macro_recall,0.687709
val,macro_f1,0.692677
val,weighted_precision,0.678944
val,weighted_recall,0.667070
val,weighted_f1,0.671738
val,mae,0.400726
val,qwk,0.805158
val,kl0_recall,0.750000
val,kl0_f1,0.752294
val,kl1_recall,0.464052
val,kl1_f1,0.422619
val,kl2_recall,0.617925
val,kl2_f1,0.655000
val,boundary_KL1_to_KL0,55.000000
val,boundary_KL1_to_KL2,24.000000
val,boundary_KL0_to_KL1,63.000000
val,boundary_KL2_to_KL1,43.000000
val,low_grade_min_recall,0.464052
val,low_grade_min_f1,0.422619
val,low_grade_worst_class,1.000000
test,accuracy,0.686594
test,macro_precision,0.704908
test,macro_recall,0.689630
test,macro_f1,0.695571
test,weighted_precision,0.689352
test,weighted_recall,0.686594
test,weighted_f1,0.686266
test,mae,0.353865
test,qwk,0.846355
test,kl0_recall,0.823161
test,kl0_f1,0.798785
test,kl1_recall,0.398649
test,kl1_f1,0.384992
test,kl2_recall,0.601790
test,kl2_f1,0.651332
test,boundary_KL1_to_KL0,109.000000
test,boundary_KL1_to_KL2,65.000000
test,boundary_KL0_to_KL1,99.000000
test,boundary_KL2_to_KL1,96.000000
test,low_grade_min_recall,0.398649
test,low_grade_min_f1,0.384992
test,low_grade_worst_class,1.000000
