split,metric,value
train,accuracy,0.672784
train,macro_precision,0.706649
train,macro_recall,0.612813
train,macro_f1,0.634283
train,weighted_precision,0.677258
train,weighted_recall,0.672784
train,weighted_f1,0.649005
train,mae,0.487361
train,qwk,0.696072
val,accuracy,0.474576
val,macro_precision,0.419506
val,macro_recall,0.362787
val,macro_f1,0.357043
val,weighted_precision,0.435743
val,weighted_recall,0.474576
val,weighted_f1,0.415365
val,mae,0.871671
val,qwk,0.420923
test,accuracy,0.501812
test,macro_precision,0.472830
test,macro_recall,0.372232
test,macro_f1,0.375865
test,weighted_precision,0.480813
test,weighted_recall,0.501812
test,weighted_f1,0.444082
test,mae,0.825483
test,qwk,0.442571
