split,metric,value
val,accuracy,0.684019
val,macro_precision,0.720833
val,macro_recall,0.699392
val,macro_f1,0.706268
val,weighted_precision,0.694797
val,weighted_recall,0.684019
val,weighted_f1,0.684712
val,mae,0.369249
val,qwk,0.831197
val,kl0_recall,0.810976
val,kl0_f1,0.774381
val,kl1_recall,0.437908
val,kl1_f1,0.411043
val,kl2_recall,0.575472
val,kl2_f1,0.659459
val,boundary_KL1_to_KL0,67.000000
val,boundary_KL1_to_KL2,16.000000
val,boundary_KL0_to_KL1,53.000000
val,boundary_KL2_to_KL1,49.000000
val,low_grade_min_recall,0.437908
val,low_grade_min_f1,0.411043
val,low_grade_worst_class,1.000000
test,accuracy,0.680556
test,macro_precision,0.708048
test,macro_recall,0.693709
test,macro_f1,0.694442
test,weighted_precision,0.691279
test,weighted_recall,0.680556
test,weighted_f1,0.677505
test,mae,0.366546
test,qwk,0.839346
test,kl0_recall,0.854460
test,kl0_f1,0.802941
test,kl1_recall,0.422297
test,kl1_f1,0.390625
test,kl2_recall,0.501119
test,kl2_f1,0.600536
test,boundary_KL1_to_KL0,123.000000
test,boundary_KL1_to_KL2,45.000000
test,boundary_KL0_to_KL1,81.000000
test,boundary_KL2_to_KL1,128.000000
test,low_grade_min_recall,0.422297
test,low_grade_min_f1,0.390625
test,low_grade_worst_class,1.000000
